product_name,category,price,sku,stock_quantity,release_date,manufacturer,warranty_period,rating,is_available
Build Body,Beauty,215.44,c09e84d4-f9b5-4836-bbaa-3c9f6deb1573,3266,2022-08-18,"Petty, Richardson and Serrano",6 months,2.2,Yes
Single Benefit,Beauty,298.11,c129bc13-fd12-43ca-b41b-7ac3232f1e3e,3896,2024-10-05,Smith Group,6 months,2.5,Yes
Condition Production,Clothing,378.9,acb1499d-e648-435d-ba01-70c09a1aff68,4436,2022-09-11,Ellis-Joseph,1 year,3.5,Yes
Brother Thought,Beauty,863.66,385d4cb5-ae9a-49e3-8620-2d21b538e9da,1170,2022-10-15,"Phillips, Calhoun and Allen",3 years,3.6,No
Sea Outside,Beauty,818.33,48f6a92d-fe06-450f-9024-4d857d59502c,1656,2021-04-27,Harris-Jones,3 years,1.0,Yes
Your Language,Electronics,687.59,fe0c39d7-f1b5-4d00-9012-cf0d4d0b8e55,1948,2024-07-22,Bowman LLC,3 years,5.0,Yes
Seek Born,Beauty,975.15,1c25b1f1-0378-421e-a855-325448e9fa57,2930,2022-06-06,Tyler-Brewer,2 years,3.5,Yes
People Medical,Clothing,739.13,6bd974d6-18fe-4fab-9be7-d9885bd195d2,3563,2024-08-27,Lee Ltd,3 years,4.2,Yes
Consider Outside,Beauty,805.77,5a1022c8-4d38-42e0-ae69-c33526cd2ee5,43,2022-04-28,"Colon, Lewis and Smith",2 years,1.8,Yes
Figure Interest,Electronics,319.11,562555c1-6e12-4c27-bd4c-4be0017d510d,53,2024-01-17,Boyle-Day,3 years,1.2,Yes
Rest That,Electronics,464.45,17ed06de-167d-4da0-ae07-70e0bd7452b4,3903,2025-02-14,"Gardner, Thompson and Patrick",1 year,3.3,No
Able Prove,Beauty,282.1,6eb3c5ff-d732-41f3-b4cf-9160b22a635a,4586,2021-11-09,Morgan Ltd,1 year,4.0,No
Administration Though,Beauty,636.23,551845cb-b3d3-4371-a0a2-b1e027fa17eb,2288,2021-05-19,Patterson PLC,6 months,1.3,No
Your Serve,Home & Kitchen,934.57,e565a836-a83a-4370-891a-36b05458879d,1972,2024-11-25,Hart and Sons,6 months,3.5,Yes
Different Child,Sports,375.68,dc3f26da-65dd-436a-84da-2052e5f012e9,2245,2021-06-12,"Espinoza, Hawkins and Cordova",2 years,4.3,Yes
Tell Indicate,Clothing,265.89,a68e4745-158d-4b3d-97fa-33aeae39e5ec,1874,2020-04-24,"Hamilton, Figueroa and Armstrong",3 years,2.8,Yes
Too Food,Electronics,753.97,abcb1f39-47f9-4a7f-8889-3ec3f366964a,4090,2022-04-26,Gonzalez-Miller,6 months,3.6,Yes
Political Theory,Clothing,232.45,334fd174-4f5c-4b25-a5cb-8f4ff506f7da,1789,2024-10-26,Murillo Ltd,1 year,2.3,Yes
Political Throughout,Sports,560.14,c971ed76-98d5-41d8-b602-0d3b96a022b6,2345,2021-04-08,Ramos Group,3 years,1.7,No
Senior Subject,Beauty,210.04,ce69b965-cb16-4b77-806c-ded4e47be933,4317,2023-03-10,"Johnson, Anderson and Robinson",3 years,4.5,No
May Low,Beauty,234.02,177b3fa7-78bb-4b37-a10e-c0925ec62c83,2820,2024-08-23,Nguyen-Hill,1 year,3.1,Yes
Use Water,Clothing,479.4,36d78a4e-931e-4723-b00f-65baf8711fdd,683,2023-03-24,Taylor LLC,6 months,3.5,No
Picture Cost,Beauty,559.9,ea4aa826-84ba-487e-bc6a-d1ef4026902a,736,2020-04-02,"Bennett, Dean and Ray",3 years,2.3,Yes
Either Production,Clothing,730.88,acd6c3cf-5fd7-4641-b3ba-e699bfd3396f,4034,2022-10-29,Baker and Sons,2 years,3.1,No
Sort Leg,Electronics,336.81,95d03d33-a245-4dff-811c-26ef272fcf2d,3632,2023-03-09,Hull-Owens,6 months,2.6,Yes
Off Approach,Sports,188.28,6fd9e517-6033-47d6-88cd-4e375634539d,3946,2025-01-18,"Crawford, Mendez and Watson",6 months,4.2,No
Unit Spend,Home & Kitchen,159.19,6ae97baa-7d6a-41f3-b4dc-6d45a12a437b,475,2022-11-18,Douglas Inc,1 year,1.1,Yes
Open Pretty,Beauty,225.29,b98cd858-b5bd-41e9-892a-72c2357aefbd,2549,2023-07-03,Elliott and Sons,3 years,2.0,Yes
Interesting Television,Sports,500.71,3db92698-e666-4866-9da9-a625511f0ba3,447,2022-01-21,"Preston, Weber and Ashley",6 months,3.8,No
Capital Between,Home & Kitchen,707.76,42aec3cf-4433-4c49-9348-470d0d33cc17,3505,2022-06-15,Porter-Booker,6 months,4.0,No
Common Former,Sports,88.31,75be109c-7f6a-4545-8ace-cffffd962865,3504,2021-02-18,Underwood and Sons,1 year,2.3,No
Money Blue,Clothing,169.06,a13c5129-7df1-466a-90a2-b6149f9a7bed,374,2022-09-16,Moyer LLC,6 months,1.9,Yes
Require Nearly,Home & Kitchen,899.16,7387048e-2f7b-4c26-9bb6-4167cb71366a,4158,2021-11-23,Gill Group,6 months,4.1,No
Firm Education,Beauty,942.93,954d8b98-fc1e-4654-a88c-693a4c3ba616,1962,2020-09-15,"Roberts, Galvan and Chavez",2 years,1.7,Yes
Anything Develop,Sports,538.46,3d17ddc1-66fd-4f5f-b0bf-fc3dace9ca3e,2752,2022-12-22,Farmer PLC,6 months,1.9,No
Budget Along,Home & Kitchen,227.47,e9ee5e1a-caef-4508-b3a9-399b9a111bbb,761,2022-04-07,"Rodriguez, Smith and Lucas",2 years,2.5,No
Player Movie,Beauty,26.3,732b3a4a-7525-4c02-b188-da98ade2ffbf,236,2024-10-16,Key-Armstrong,1 year,1.4,No
Expert Theory,Sports,305.77,6e8dd763-7d73-4c91-915c-8d3862df0a33,2578,2020-11-06,Smith Group,2 years,2.9,No
Available Individual,Sports,973.53,3d39643e-415e-4337-9d4e-87e965039464,1213,2024-02-21,"West, Leon and Rivera",3 years,3.2,Yes
Other Family,Clothing,519.03,2115c5fb-9f15-43cb-b419-a8e0b98537c0,2230,2024-06-23,Petty and Sons,2 years,1.6,No
Might Hear,Home & Kitchen,648.13,414786b7-7031-4970-8c6b-f4e4b0096ebc,3991,2025-01-11,Gregory-Humphrey,1 year,1.7,No
Able Station,Beauty,991.27,dd038661-1eea-4266-b1a9-83162f101361,788,2022-04-24,Hernandez-Diaz,1 year,4.6,Yes
Smile He,Electronics,543.35,28f3e41f-ea17-497a-9868-fa0a799a2a4f,1098,2023-07-11,"Baldwin, Simmons and Meza",3 years,4.6,Yes
Reveal Say,Electronics,142.37,dfdba642-cd3f-4ecf-9923-7984701226bb,210,2022-06-24,Cobb Group,6 months,4.8,No
Never Professor,Beauty,827.01,d156d239-34be-4c8b-ae85-832b6cc53c6a,787,2024-04-27,Brown-Garcia,1 year,4.5,Yes
Way Report,Sports,281.61,570e85d0-aa6c-4332-b1da-924f736b1ea6,4930,2025-01-07,Phillips Ltd,2 years,3.0,No
Probably Science,Electronics,398.84,b70eb7ef-67fd-4a86-9ebc-504d9122d2b6,396,2021-05-22,Barnes LLC,1 year,4.7,Yes
Fund Call,Clothing,609.84,f85faee6-e010-4637-9512-e9edcbaa49e2,3103,2024-09-03,Larsen Inc,1 year,4.6,No
Southern Put,Electronics,102.11,4f556cce-4eba-45fc-a724-5e8a6289671a,3974,2025-01-05,"Martinez, Dawson and Williamson",3 years,2.8,Yes
Leg Write,Beauty,746.26,efd04a49-a596-4125-b3e1-405997aa3105,1497,2023-12-12,"Soto, Pearson and Choi",3 years,4.4,No
Upon Usually,Clothing,805.14,f45c85f7-48a3-495d-8e70-f9bb1b4d9160,4413,2024-05-13,Kennedy Group,2 years,3.8,No
Next Occur,Electronics,602.78,a8dcef62-2091-4dbf-a151-8270423d05c6,2027,2021-07-25,Zuniga-Gordon,6 months,3.6,No
Dinner Chance,Clothing,867.17,69ad0364-581c-4399-bef0-a1a8d27cd79a,790,2024-03-15,Coleman PLC,6 months,2.3,No
Both Character,Electronics,680.82,3af2c347-7d83-4323-ba5a-5501f16d5ec7,1344,2025-01-05,Robinson-Wilson,2 years,4.2,Yes
Whether Head,Home & Kitchen,689.41,dfe7ad9f-33e6-4cbb-976d-5c9128e4ee06,2642,2023-10-16,"Martin, Shah and Davis",3 years,4.5,Yes
Director Picture,Home & Kitchen,386.88,af3b0cca-a028-4f5a-b559-9a3048693756,2508,2022-11-21,"Wright, Fowler and Smith",2 years,2.0,Yes
Sea Safe,Sports,423.52,7131b12f-e5bf-4371-bf01-1da1706dcdd2,4396,2022-11-19,Hines Group,6 months,4.7,Yes
Truth Away,Sports,657.32,01d057df-d711-499d-90af-8db35ccdde03,1785,2024-04-22,"Crawford, Chan and Gray",3 years,2.5,No
Onto Receive,Home & Kitchen,120.57,5db4275f-cf8a-4083-afd9-965534853c70,3530,2022-11-10,Brown-Wheeler,2 years,3.4,No
To Rule,Clothing,913.25,df0c9ded-e32e-48b2-98bf-76ce0d6283e2,4518,2020-07-12,"Keller, Nguyen and Ray",6 months,5.0,No
By Stand,Sports,239.4,c8eaed09-2a90-40c1-a674-2df60f56491f,2042,2022-10-03,"West, Taylor and Lloyd",3 years,1.5,Yes
Market Newspaper,Home & Kitchen,257.92,90529ea7-aaf5-4889-b702-68ecf37a11ae,2587,2022-03-23,"Bolton, Matthews and Sanchez",6 months,3.1,Yes
Require Senior,Home & Kitchen,85.56,0b59f2e1-f734-4ea7-8ea5-3ba7726122ad,1531,2024-04-19,Williams-Gutierrez,1 year,2.6,Yes
Usually Seven,Electronics,487.1,aff3bfa7-25bf-463b-9e42-bf617b2e8d27,1030,2024-03-11,"Johnson, Le and Pollard",6 months,4.8,Yes
Explain Decide,Sports,636.25,3f150d7b-6c40-4277-bbc2-04930c71535d,1037,2024-05-18,Hernandez and Sons,3 years,4.3,No
Standard Bad,Beauty,196.05,110a0ea8-03a8-4b0b-bd1e-0fbe2042bdcb,1192,2022-07-07,"Murphy, Newton and Smith",2 years,2.8,No
Form Speak,Sports,549.77,9ad953a8-2dec-4911-b1a7-30c00ccda999,1646,2023-09-22,Macias-Johnson,6 months,2.8,No
Particular Away,Sports,849.27,abafa024-7b20-49bc-a20c-755812c655d2,4799,2024-09-19,Harris-Cruz,6 months,3.2,No
Including Training,Clothing,73.77,acc584dc-020e-40c6-a4c0-59f1e4b5b955,60,2022-02-11,Dudley-Gray,2 years,4.8,No
Approach Well,Electronics,658.77,d7c3931e-af7d-4c12-a1a2-7d7552ea141d,1614,2023-07-21,Fisher LLC,1 year,4.2,No
Of Purpose,Clothing,197.2,68193a71-6215-49f9-a12a-04a05abcd1d7,807,2023-03-10,Rasmussen-Gibson,6 months,4.5,Yes
Art Friend,Electronics,769.63,3c939cd3-7636-4f0e-b589-e3d5bf501377,4405,2024-11-23,Alvarez-Walker,1 year,4.1,Yes
Painting Start,Home & Kitchen,456.5,31526ac0-7e32-43e4-9bfd-5e1343952f4e,2648,2023-06-24,Curry PLC,1 year,4.5,Yes
Various Boy,Sports,758.8,c90637ef-5454-4bc3-8223-2429d2c0d00b,193,2021-03-08,Young-Wallace,6 months,4.3,No
Dog Woman,Sports,842.85,34543140-2bd3-4802-b25e-3b884a4a9dd6,4726,2021-11-20,"Pham, Waters and Crosby",6 months,1.0,No
Poor Well,Sports,359.07,6acde3a0-2723-48e8-88c9-4b3b0f08c76b,1008,2022-02-12,Gentry-Burgess,2 years,2.1,No
Business Pull,Clothing,558.39,8f2259c4-b778-4638-886f-9623c0071dcc,4336,2020-03-22,Williams-York,3 years,2.4,Yes
Finish Ball,Beauty,935.72,c11067b6-0e98-416d-8ee4-87b135bf0ecd,3822,2021-12-27,York-Morris,1 year,2.9,Yes
This Movement,Home & Kitchen,485.32,2a203eb1-cd18-445b-ad79-89067057acb6,3108,2022-04-27,Webb PLC,2 years,2.0,Yes
Sound Consumer,Home & Kitchen,638.59,11ce1123-d826-4a7e-94fb-0c856a9ae970,3494,2022-03-20,"Rosario, Cuevas and Graham",2 years,4.9,No
Culture Theory,Electronics,193.62,b95057ed-f3e2-4b38-baf4-ec00d9233f28,1027,2024-07-04,"Murphy, Price and Sampson",1 year,2.2,Yes
Necessary Leg,Beauty,896.76,27ddabb4-6e0b-40d2-bd6a-a49404fc9d09,1588,2024-04-14,Hanson LLC,1 year,4.9,No
Happen Room,Sports,406.98,79fb93e4-07a6-49dd-955a-e34f87128b09,266,2024-10-14,"Hebert, Wright and Ramirez",2 years,3.5,No
Exist Against,Sports,39.01,5e2427ff-f16f-4503-837c-7d5e694372d4,1035,2022-02-02,"Bishop, Allen and Caldwell",2 years,1.1,No
Think Protect,Clothing,149.75,d2a626d7-95c8-4753-9df8-da548f751cc4,4307,2024-04-16,Cunningham Inc,2 years,4.6,No
Director Raise,Electronics,547.94,f2646908-a643-48d5-b97f-51a2e5485b4f,2118,2023-03-21,Brown and Sons,1 year,2.4,No
Lose Heart,Home & Kitchen,371.34,2a073c89-5ad9-44f9-aa73-61ce22f4d09a,4993,2023-01-31,"Miles, Cruz and Ponce",2 years,1.8,Yes
Dinner Level,Clothing,707.75,1648119c-36c9-48d1-acfd-20fc49419c99,3774,2022-04-09,Hopkins Group,2 years,1.9,No
Seven Campaign,Electronics,726.89,3237f437-fab3-4656-87d2-282404719dc5,3277,2025-01-03,Willis Inc,6 months,1.8,No
Expect Talk,Beauty,964.54,fc186a99-161e-4406-b255-57b900a1f685,2748,2024-05-03,Terrell-Ortega,6 months,2.1,Yes
Central Account,Beauty,78.7,a37fdcc8-9ed0-4724-84f5-ed0b02ba08bc,4048,2020-07-12,Jones-Evans,6 months,1.4,Yes
Second Bring,Sports,893.18,5037a209-a8b1-4796-847b-9c680f316f59,3522,2020-06-24,Juarez Group,6 months,2.2,No
Dream Provide,Beauty,607.95,43ada8df-09a6-4127-a8a4-640ba81611a0,4064,2023-12-28,"Jensen, Hardin and Rhodes",2 years,4.2,Yes
Which Apply,Beauty,175.12,c8dc2e73-dad9-4427-a589-8d19a12d99a1,335,2022-01-12,Watson PLC,2 years,2.3,Yes
Center According,Beauty,193.05,20293691-f75b-433b-b755-9b3a251129ba,609,2020-12-03,Hoover LLC,6 months,5.0,Yes
Feeling Beat,Sports,974.31,507b4c9f-a730-4ebf-9b4a-29b9eda692dc,3752,2020-06-21,"Gay, Rivera and Parker",2 years,3.2,No
Serve Challenge,Beauty,285.96,017623e7-af12-49c8-b6be-e0e931993498,4386,2024-04-18,"Castaneda, Vaughan and Schneider",2 years,1.1,No
Difference Style,Electronics,468.27,e58ef768-b4ed-4f35-8b61-eaffe1fbf85e,3405,2023-08-10,"Martinez, Hall and Santiago",2 years,4.1,Yes
Ahead Far,Clothing,890.47,71881775-4f2d-4507-9299-606303eb0854,2225,2021-08-08,Salazar PLC,3 years,4.1,No
Lead Line,Home & Kitchen,242.59,33b59280-6f75-41a3-992d-2e1c09fea4ed,3108,2022-09-08,"Watts, Martinez and Cabrera",3 years,4.3,No
Important Least,Electronics,301.98,1493ba5b-3167-4f49-a3aa-352180087a55,2500,2023-12-25,Ramos-Sanchez,6 months,2.2,No
Everyone Yard,Clothing,426.14,14b53493-ac6b-4e85-84ad-41b3e7ab3e67,389,2024-05-03,Stein-Mccarthy,3 years,3.0,No
Fall Stay,Electronics,230.87,ab7fff63-e48b-4307-8ea8-64f3d2cc61ec,558,2025-02-13,Navarro-Blair,3 years,1.1,Yes
Lose Training,Home & Kitchen,761.43,33f22f22-fafa-4428-a787-675541707af0,2273,2021-06-06,"Black, Le and Mora",3 years,3.9,No
Though Walk,Electronics,964.4,de1178f6-e15b-4d81-9253-e66313947a67,3979,2021-02-01,"Brown, Pitts and Ellis",2 years,2.1,Yes
Into Describe,Home & Kitchen,613.35,d2e3d4bf-6780-43b4-bf42-0dc2baed5a72,2734,2021-09-23,"Simpson, Gonzalez and Wright",3 years,2.6,Yes
Hold Oil,Electronics,565.01,251bc618-2667-4455-8bb5-b0748f86aeda,4918,2024-09-27,Lawrence-Decker,6 months,3.5,Yes
Today Money,Beauty,254.58,bbaebe64-a195-4343-9936-65186e9a94f6,3719,2021-11-03,"Chaney, Castillo and Marshall",2 years,4.7,No
Rule Say,Home & Kitchen,874.1,651804b6-db57-48bf-9637-57f723e6d0ad,3049,2022-02-25,Hunt-Klein,2 years,3.2,No
Be Policy,Home & Kitchen,560.39,e30f849a-9f06-4b83-a7b2-fe427f282289,467,2023-09-08,Terry-Adams,2 years,3.9,Yes
Place Tonight,Electronics,464.81,4c971e53-2c10-4f9b-9bf3-4f633f95a413,674,2024-10-12,"Allison, Reyes and Cooper",1 year,4.0,No
Traditional Suffer,Clothing,377.15,4e8d759d-098d-4cdc-8141-fdc6e9e6101a,1428,2025-01-11,Jones LLC,2 years,2.0,No
Mouth Vote,Sports,801.37,cf9ee382-4778-4907-ada8-7b3307b7cc1b,3114,2020-08-27,Bridges-Fischer,2 years,1.6,Yes
Ever Add,Beauty,374.74,207b0f8f-1aab-4be8-8236-761af2c2cf26,2821,2020-07-07,Stephens-Cook,1 year,3.7,No
Concern Dinner,Beauty,881.08,f4940177-612f-4e08-8e66-d874012716b8,4655,2024-12-30,Crawford-Sullivan,1 year,3.7,Yes
Treat Partner,Home & Kitchen,371.19,9eefa7d0-3d00-4cb7-a987-0c5649628190,2581,2021-04-16,Fowler-Gray,2 years,4.2,No
Chance Leave,Clothing,187.39,199e8c60-3092-4296-ba7e-8dec83b0dd5c,2799,2024-03-08,"Frey, Gutierrez and Bell",1 year,4.7,Yes
Old Book,Beauty,131.52,543d91e8-422d-42ab-b7ea-49bd779e0492,3176,2022-07-19,"Rubio, Ruiz and Ho",2 years,2.9,Yes
Order Admit,Home & Kitchen,125.76,bdb16244-1c60-4448-8187-b57cb09267e3,4393,2021-08-28,Olsen Ltd,3 years,3.1,Yes
Political History,Electronics,588.59,4a3b8e9d-8463-4dfc-9279-6b7fec0147cd,1593,2024-05-11,Williams-Mason,1 year,2.7,No
Reason Nothing,Home & Kitchen,367.15,51808487-0fc4-4c6a-a891-45e7d7836930,303,2022-02-22,Harmon PLC,3 years,4.0,Yes
Firm Law,Home & Kitchen,758.99,91902397-528a-49e5-9b6d-8ec3ec82c681,475,2023-09-14,Gardner PLC,2 years,4.9,Yes
Many Against,Electronics,680.53,fbf422c6-1084-4805-9c0d-e2540925a70c,834,2022-09-27,"Alexander, Bowen and Duke",1 year,2.2,No
Create Place,Clothing,499.03,f322a288-1f80-4f9f-a479-7e64265bf14a,3449,2021-08-21,Burke Ltd,2 years,3.5,Yes
I Act,Clothing,372.9,7a8eb251-5027-483a-9cb4-97cd1c41bd75,118,2022-02-25,"Sullivan, Matthews and Williams",3 years,4.8,Yes
Bring Thing,Clothing,66.24,83ffbedb-48a7-40a8-a85c-4291166f1962,2203,2021-02-04,Walters Inc,1 year,2.0,No
Per Leg,Clothing,399.51,846f2af6-93aa-461d-bc0c-e9ac536570c6,2369,2024-06-07,Ryan-Jackson,6 months,3.2,Yes
Move Might,Clothing,128.66,77a0fde4-fb93-4a73-9d6a-4fa9724c416d,3066,2022-01-02,Le-Johnson,6 months,3.1,Yes
Ahead Establish,Home & Kitchen,961.01,d561fe2c-3418-4b25-9337-d9d1abfa6e35,3903,2022-01-01,"Hunt, Miller and Delgado",6 months,4.7,Yes
Stuff Although,Home & Kitchen,48.07,4c2e71c6-5294-490c-aa05-115f9c860239,64,2022-12-20,Ramos Ltd,1 year,4.5,Yes
Bank Reason,Clothing,690.35,6ae243d1-c731-492a-8e24-c0438b5d8a93,4401,2022-03-19,Williams LLC,2 years,2.0,No
Whom Choice,Clothing,205.94,1da2b7c4-9d33-4dd0-a2b5-09cc3d306938,1681,2023-09-30,"Lynch, Bates and Petty",1 year,2.2,Yes
Husband This,Beauty,632.68,a19ef627-c47e-4cca-a937-21130fcd7bb1,2899,2023-02-20,"Spence, Poole and Cole",3 years,2.5,No
Seek Through,Beauty,511.38,0c26a52a-b9bd-413e-9458-af4071092191,3528,2023-04-07,Perkins-Parks,3 years,2.2,No
Final During,Beauty,141.7,f3bcd5b1-f8a6-47f6-b9fc-101e66ad6489,1284,2024-12-19,"Smith, Hardin and Maldonado",1 year,3.2,No
Choice Expert,Home & Kitchen,843.97,074ca688-83c5-416c-baf1-6b48820eab76,2392,2024-05-31,Knox-Hill,1 year,4.1,Yes
Should Voice,Sports,187.0,f2cd00fb-edff-4ebf-b326-628f1efb7dca,3962,2023-12-03,Smith PLC,6 months,2.0,No
Public Learn,Clothing,767.21,77f184de-5e54-4579-8ff1-9d0f1cfa7c3d,2080,2023-02-01,Campbell PLC,1 year,2.6,No
Herself Must,Home & Kitchen,719.57,5dae9f45-912f-49e1-8e94-2132399c2139,664,2025-01-26,Curtis-Jarvis,2 years,2.5,No
Sign Company,Beauty,572.15,53fd3f7f-c969-4c0c-9497-788fef59e28c,3078,2020-12-20,Larsen-Cooper,1 year,2.2,No
Top Serious,Home & Kitchen,11.52,0fe67d47-d1f5-4f4a-b981-6777488de0c2,3011,2021-10-31,Brock and Sons,6 months,4.8,Yes
Water Opportunity,Electronics,208.17,f2797b31-78a3-4a14-9626-2049ca3daa47,596,2021-05-21,Rojas-Cox,1 year,1.1,Yes
Institution Hand,Clothing,720.35,cc6da56c-ddf7-41fa-a42d-351e205887c2,4539,2020-06-27,Peterson-Myers,2 years,3.8,No
Some Physical,Home & Kitchen,314.76,a7f85507-e445-4769-892b-7a4c66f072df,3678,2022-06-14,Moss Group,2 years,2.7,No
No Property,Clothing,179.78,71503e57-c447-4c4d-9373-9426a68bb82e,516,2021-12-26,Marks LLC,3 years,4.4,No
Hundred Air,Clothing,65.53,60bcb9a0-582e-4c3b-ab12-bcd09d2ebb57,2129,2021-07-19,Lewis-Leon,1 year,2.4,Yes
Time Wind,Sports,582.04,52fecbb8-4d64-43ad-b317-89c700f752f4,3322,2023-12-13,Sherman Ltd,3 years,2.8,No
Technology Consumer,Clothing,906.52,735b28eb-650e-4cc4-ba45-2a9326e926f9,2547,2024-06-12,Rubio Group,3 years,4.5,Yes
Fall Forward,Home & Kitchen,60.66,66a77e25-59ee-4d44-835f-a2c5e1d3f0ba,4747,2022-08-08,"Freeman, Sims and Bell",2 years,1.9,No
Compare Lose,Sports,819.87,462df18f-5d40-4dd3-b56c-083d3b60d9b2,2590,2021-07-09,Wood-Ashley,6 months,3.1,Yes
Government Far,Electronics,196.23,b35e31fb-1b91-44a2-a2f9-0c2b6235fc96,1736,2021-10-15,Lynn-Williams,1 year,2.3,No
Whatever Process,Beauty,272.55,3b9f4f93-0570-4859-ad16-890a69a34cb1,188,2020-04-02,"Gonzalez, Phillips and Bell",1 year,1.3,No
Should Management,Clothing,508.11,b64bed70-9246-4b2a-8e51-67b7806f62f6,755,2021-06-30,Martinez-Lee,1 year,4.1,No
Six Why,Electronics,395.14,8656fa46-aee1-44e7-985b-72e42344ad4e,840,2022-08-06,Huff-George,1 year,5.0,Yes
Easy Sense,Clothing,610.14,da2d1b48-196b-49c3-b876-98719d973aea,1747,2022-12-07,Stewart Ltd,2 years,4.0,No
Show Sometimes,Clothing,943.9,bc8a0db4-653f-4d9f-a185-9930d67c6c5e,2891,2022-10-10,"Ryan, Wilcox and Ward",1 year,3.6,Yes
Social Strategy,Home & Kitchen,986.41,8987a222-50ff-40cc-8e24-f4dbf2420c69,3101,2021-03-23,Glover PLC,6 months,4.5,Yes
Staff Relationship,Sports,325.77,6d7e4759-164d-466d-8514-f89baed18467,2949,2024-02-02,Thornton-Juarez,3 years,1.3,No
Beautiful Save,Clothing,464.17,95bbb9f8-b401-457a-93b0-0ff6db805605,655,2022-10-27,Dickson Inc,3 years,4.6,Yes
Send Say,Beauty,786.58,85309089-0238-48ac-8c82-a2c70bcb6a46,4839,2023-11-13,Green-Hernandez,2 years,1.1,No
Peace Wait,Home & Kitchen,389.08,136dd750-7784-4a10-b330-162ff61524ad,1226,2022-02-09,Barnes Ltd,1 year,2.0,Yes
Live Offer,Home & Kitchen,467.91,ecbe9cac-2b66-410b-949c-699604c45dba,1547,2020-04-25,Chapman Group,6 months,2.7,No
Movement Country,Electronics,724.0,4f885b2b-9e72-493d-bc4a-f22b9fbc78ef,1352,2020-06-10,"Solomon, Hampton and Weber",2 years,3.8,No
Piece Always,Electronics,824.6,d706df26-98d4-4c27-904e-6c359c1bb1ac,2270,2022-10-26,Mcgrath PLC,6 months,1.8,Yes
Them Positive,Clothing,615.9,4d852863-da44-4de6-8866-78115bca8b2c,2378,2021-09-20,Wells LLC,1 year,1.4,Yes
Health City,Home & Kitchen,964.66,5a595a86-c162-43bc-b082-0f76a0b5606f,2893,2021-10-14,"Pierce, Kemp and Perez",1 year,4.1,No
Still Enough,Beauty,900.7,0039f206-ec0c-4cb5-b10f-007de67d38df,2108,2020-11-07,Perez Inc,2 years,3.4,No
Magazine Hand,Electronics,666.25,87551f26-4dc5-4436-981d-660fe7a4b806,303,2021-06-10,Palmer-Williams,6 months,3.3,No
They Around,Clothing,567.73,257ca2af-f9ef-4b5f-8b52-812dd2c8a551,222,2021-07-09,"Garcia, Waller and Graham",3 years,4.4,No
Expect Field,Home & Kitchen,861.66,8d6bcbc6-f3c5-48da-b5e8-bc1d6a8adbbb,3814,2023-08-08,"Hernandez, Taylor and Hill",6 months,3.8,Yes
Probably Door,Home & Kitchen,257.07,0e2969e2-4ecc-45c4-9e01-e092679dec96,1995,2021-04-25,Mendoza-Blackwell,1 year,2.0,Yes
Action House,Beauty,838.26,c980f5d7-ccc7-411e-a089-036b78de95fc,136,2020-08-19,"Chapman, Jackson and Reynolds",3 years,2.5,Yes
College Fear,Beauty,759.29,5157fb6e-46fd-407b-944d-1543b0eb0da9,1558,2021-01-28,Elliott-Johnson,3 years,1.4,Yes
Community Stop,Sports,505.0,c6f330e3-b5ae-4ee4-a36a-657fb15b5e4d,2529,2023-06-16,Kelly-King,6 months,1.2,Yes
Peace Laugh,Sports,970.3,97878855-4d2e-46b2-a4d6-1932699a1d47,1165,2024-02-28,Kline PLC,2 years,1.7,Yes
Central Partner,Clothing,605.99,260b3991-3f94-4185-bf04-ff6d6149ac0d,4958,2022-07-29,Harrell Inc,6 months,3.4,Yes
Floor Through,Clothing,134.78,190ef541-e2b4-4a2c-b837-bd915a530c91,618,2021-05-28,Diaz Inc,2 years,4.0,Yes
War Her,Home & Kitchen,903.26,a59edb75-2992-433d-a749-b263db2c5bfb,4353,2023-12-07,"Wagner, Blanchard and Harrison",2 years,4.0,No
Prevent Mind,Home & Kitchen,551.15,872b89ab-e562-4823-b5c2-7a7a81d5fd42,3162,2020-12-21,Yang Inc,1 year,3.3,Yes
Performance Home,Electronics,589.79,057ab2bd-abdf-49a9-8b71-61ba13b2585c,1618,2024-08-21,Reynolds and Sons,2 years,3.0,No
According Should,Beauty,928.49,f08a1bd6-6125-40a0-8bc9-a898382c09ec,1095,2021-08-16,"Pham, Baker and Smith",2 years,4.4,No
Account Make,Clothing,757.26,c5e25a41-cbb2-4a95-b1c2-bc365b464519,4315,2021-07-11,Collins LLC,2 years,2.6,Yes
Popular Mention,Electronics,248.05,14d650b9-8803-4bd9-a707-4a5f3cb00af9,225,2025-01-18,Rios Group,2 years,1.3,No
Create Final,Sports,615.3,11d9df4e-f932-41e9-ab58-9e9f154497f3,3369,2020-09-25,Bryant LLC,6 months,1.3,No
New Him,Home & Kitchen,213.77,e8c35a28-7227-41f4-bc81-b86bea9e6614,2223,2025-02-26,Garcia and Sons,1 year,4.6,No
West Concern,Electronics,845.5,451746ea-aefe-41db-b0cb-bc979c31a075,2524,2024-02-02,"Burns, Brown and Brooks",3 years,3.5,No
Serve A,Sports,963.92,e649765d-e492-4627-b774-6ffe27dd144f,4307,2023-04-08,Mcfarland PLC,2 years,1.2,Yes
Job Weight,Electronics,883.28,378ee5c4-2ebb-471b-a790-b318d1158b72,1317,2023-04-14,"Davis, Green and Chavez",3 years,2.3,No
